n, time
100, 0.000000
200, 0.000000
300, 0.000000
400, 0.000000
500, 0.000000
600, 0.000000
700, 0.000000
800, 0.000000
900, 0.001000
1000, 0.000000
1100, 0.000000
1200, 0.001000
1300, 0.000000
1400, 0.000000
1500, 0.000000
1600, 0.001000
1700, 0.000000
1800, 0.000000
1900, 0.000000
2000, 0.000000
2100, 0.000000
2200, 0.001000
2300, 0.001000
2400, 0.000000
2500, 0.000000
2600, 0.000000
2700, 0.000000
2800, 0.000000
2900, 0.001000
3000, 0.000000
3100, 0.001000
3200, 0.000000
3300, 0.001000
3400, 0.001000
3500, 0.000000
3600, 0.002000
3700, 0.000000
3800, 0.001000
3900, 0.001000
4000, 0.001000
4100, 0.001000
4200, 0.000000
4300, 0.001000
4400, 0.001000
4500, 0.000000
4600, 0.001000
4700, 0.001000
4800, 0.001000
4900, 0.001000
5000, 0.001000
5100, 0.001000
5200, 0.001000
5300, 0.001000
5400, 0.001000
5500, 0.001000
5600, 0.002000
5700, 0.001000
5800, 0.002000
5900, 0.001000
6000, 0.002000
6100, 0.001000
6200, 0.001000
6300, 0.004000
6400, 0.002000
6500, 0.001000
6600, 0.001000
6700, 0.001000
6800, 0.003000
6900, 0.001000
7000, 0.001000
7100, 0.002000
7200, 0.001000
7300, 0.001000
7400, 0.003000
7500, 0.001000
7600, 0.003000
7700, 0.001000
7800, 0.001000
7900, 0.001000
8000, 0.002000
8100, 0.002000
8200, 0.001000
8300, 0.002000
8400, 0.005000
8500, 0.003000
8600, 0.004000
8700, 0.002000
8800, 0.003000
8900, 0.002000
9000, 0.002000
9100, 0.003000
9200, 0.002000
9300, 0.004000
9400, 0.002000
9500, 0.005000
9600, 0.002000
9700, 0.004000
9800, 0.002000
9900, 0.002000
10000, 0.002000
10100, 0.004000
10200, 0.003000
10300, 0.002000
10400, 0.003000
10500, 0.002000
10600, 0.005000
10700, 0.002000
10800, 0.002000
10900, 0.003000
11000, 0.003000
11100, 0.002000
11200, 0.004000
11300, 0.002000
11400, 0.003000
11500, 0.005000
11600, 0.004000
11700, 0.005000
11800, 0.003000
11900, 0.003000
12000, 0.004000
12100, 0.002000
12200, 0.003000
12300, 0.003000
12400, 0.002000
12500, 0.004000
12600, 0.004000
12700, 0.010000
12800, 0.003000
12900, 0.003000
13000, 0.010000
13100, 0.006000
13200, 0.009000
13300, 0.004000
13400, 0.003000
